timestamp,title,categories,assets,sentiment,reasoning,analysis_source
2026-03-18 22:58:50,"The Wolfbox Trail Season sale drops prices on dash cams, jump starters, and more by up to 50%",AI Boom,"Nasdaq, Nvidia",Nasdaq:+0.15; Nvidia:+0.55,v2 deterministic ingestion | relevance=35 | flag=known,news_agent_v2
2026-03-18 22:58:50,Wall Street ends up as traders turn to US Fed,"Inflation, AI Boom","Gold, US10Y, USD, SP500, Nasdaq, Nvidia",Gold:+0.30; US10Y:+0.40; USD:+0.20; SP500:-0.30; Nasdaq:+0.40; Nvidia:+0.80,v2 deterministic ingestion | relevance=75 | flag=known,news_agent_v2
2026-03-18 22:58:50,Iran vets friendly ships for Hormuz passage: trackers,"Geopolitics, AI Boom","Oil, Gold, Defense Stocks, SP500, USD, Nasdaq, Nvidia",Oil:+0.70; Gold:+0.60; Defense Stocks:+0.70; SP500:-0.60; USD:+0.30; Nasdaq:+0.40; Nvidia:+0.80,v2 deterministic ingestion | relevance=75 | flag=known,news_agent_v2
2026-03-18 22:58:50,Netflix Top 10 Report: War Machine is 2026’s Biggest Movie So Far While Virgin River Season 7 Holds Strong,Geopolitics,"Oil, Gold, Defense Stocks, SP500, USD",Oil:+0.95; Gold:+0.85; Defense Stocks:+0.95; SP500:-0.35; USD:+0.55,v2 deterministic ingestion | relevance=55 | flag=known,news_agent_v2
2026-03-18 22:58:50,Year Up United at 25: A Q&A with Gerald Chertavian,AI Boom,"Nasdaq, Nvidia",Nasdaq:+0.40; Nvidia:+0.80,v2 deterministic ingestion | relevance=35 | flag=known,news_agent_v2
2026-03-18 22:58:50,"Top Ten Hottest Comics Of The Week: Conan, 51, Narco & Tigress Island",Geopolitics,"Oil, Gold, Defense Stocks, SP500, USD",Oil:+0.70; Gold:+0.60; Defense Stocks:+0.70; SP500:-0.60; USD:+0.30,v2 deterministic ingestion | relevance=55 | flag=known,news_agent_v2
2026-03-18 22:58:50,Crypto Bill Stablecoin Yield Compromise Could Come This Week: Tim Scott,,Not identified,,v2 deterministic ingestion | relevance=15 | flag=unknown,news_agent_v2
2026-03-18 22:58:50,Morocco keeps benchmark interest rate unchanged at 2.25 pct,Inflation,"Gold, US10Y, USD, SP500",Gold:+0.30; US10Y:+0.40; USD:+0.20; SP500:-0.30,v2 deterministic ingestion | relevance=35 | flag=known,news_agent_v2
2026-03-18 22:58:50,Liberal government appeals Emergencies Act decisions to the Supreme Court,AI Boom,"Nasdaq, Nvidia",Nasdaq:+0.65; Nvidia:+1.00,v2 deterministic ingestion | relevance=35 | flag=known,news_agent_v2
2026-03-18 22:58:50,Sunderland Linked With Multi-Million Pound Eredivisie Star: Should The Black Cats Break The Bank?,,Not identified,,v2 deterministic ingestion | relevance=15 | flag=unknown,news_agent_v2
